Participant_ID,Course,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,Used_AI,Frequency_use_AI,Uses_of_AI_pre,Uses_of_AI_write_pre,Why_use_AI,Understand_limitations_pre,Valuable_part_process,Plagiarism,Drafts,Focus_drafts_pre,Focus_drafts_write,Feedback_feel_pre,Feedback_importance_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Year_post,Year_write_post,Major_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in,Language_write_in_other,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,Used_AI_post,Focus_drafts_post,Feedback_feel_post,Preferred_feedback_post,Preferred_feedback_write_post,peer_motivate_revise_post,AI_motivate_revise_post
P138,HSW,winter_2024,3rd year,NA,Psychology,"English: advanced, Spanish: beginner, Vietnamese: beginner",Yes,NA,,,,,,Yes,2 = infrequently,Writing (ask AI to write paragraphs),NA,I ask them to help me right out an outline to give me a general idea or inspiration for topics to write about.,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Some advantages are that it can provide a variety of specific feedback.,Some disadvantages are that it is very subjective and may not fully understand the rubric to your essay.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P139,ECO,winter_2024,Other,graduate (PhD),Geography,"English: advanced, ASL: beginner, Spanish: intermediate, Belarusian: intermediate",Yes,NA,,,,,,Yes,1 = never,I do not use AI Writing Tools,NA,NA,Understand very well,Somewhat disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,Less confident about my writing,Somewhat agree,,,"typos, grammar, perhaps more helpful for ESL writers","reduced reliance on critical thinking, overly generalized feedback/lack of nuance/propensity towards homogenization",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P14,ECO,winter_2024,Other,2nd year MS student,EPM,"English: Advanced, Spanish: beginner",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Somewhat agree,,,I might not get feedback otherwise,It's not always accurate,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P140,HSW,winter_2024,3rd year,NA,Psychology,"English: advanced, Vietnamese: beginner",Yes,NA,,,,,,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,To identify things that I can improve on,Somewhat understand,Strongly agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,ChatGPT can provide feedback about parts in your writing that are unclear and need more development,ChatGPT can't provide thorough feedback on your writing.,3rd year,NA,Psychology,"English: advanced, Vietnamese: beginner",Yes,NA,,,No,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,Peer feedback,NA,Strongly agree,Strongly agree
P141,ECO,winter_2024,4th year,NA,Environmental Science and Management,English: advanced,Yes,NA,,,,,,Yes,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Neither agree nor disagree,Somewhat agree,No,NA,NA,Less confident about my writing,Neither agree nor disagree,,,I think it will help a lot with grammar and phrasing.,I'm mostly worried about how it will effect the integrity of my work.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P142,ENV,winter_2024,2nd year,NA,Biological Sciences,"Taishanese: advanced, English: advanced, Mandarin: intermediate, Cantonese: intermediate",Yes,NA,,,,,,Yes,4 = frequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I use Grammarly to double-check my grammar and punctuation.,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,It can help catch mistakes that you did not notice and make suggestions.,You might rely on it to much that it eventually doesn't become your writing.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P143,ENV,winter_2024,3rd year,NA,Environmental science and management,"English: native, Spanish: intermediate",Yes,NA,,,,,,Yes,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,I will submit an opening paragraph to ChatGPT and ask if the points I plan to explore in the essay make sense and seem clear enough from the introductory paragraph alone.,Somewhat understand,Somewhat disagree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Strongly agree,,,I think that the feedback an AI would give often try to fit very clear forms of writing which is often what my instructors ask for.,I do not often get feedback that is completely grammatically correct and sometimes it diverts from the intent of the essay despite me reiterating to the AI.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P144,APW,winter_2024,2nd year,NA,Cell Biology,"English-Advanced, Cantonese-intermediate, Japanese-Beginner, Spanish-Beginner",Yes,NA,,,,,,Yes,4 = frequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I use Grammarly to check for spelling and sentence structure. I primarily use AI for spell check and nothing else.,Neither understand nor do NOT understand,Neither agree nor disagree,Somewhat agree,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,I think that I can a better start on my papers because starting is one of the most difficult part of writing for me. Obtaining a guidance that can lead my thoughts into a cohesive theme or argument is helpful.,Some disadvantages could be receiving vague suggestion and submitting information to AI can be a privacy concern and open for plagiarism.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P145,HSW,winter_2024,3rd year,NA,NPB,English advanced,Yes,NA,,,,,,Yes,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Strongly disagree,No,NA,NA,More confident about my writing,Somewhat agree,,,Good ideas,Have to ask specific questions,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P146,ENV,winter_2024,2nd year,NA,Biotechnology,English: advanced,Yes,NA,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I use Grammarly to help me fix typos and incorrect grammar.,Somewhat understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Strongly agree,,,"It will tell me which parts in my writing is unclear or have incorrect grammar. It will act as ""someone"" reviewing and giving feedback on my writing.",None,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P147,APW,winter_2024,3rd year,NA,Statisitcs,"English: advance, Spanish : advance",Yes,NA,,,,,,Yes,5 = very frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Sometimes I just need a second opinion on the structure of my sentence. Ill have a sentence written down but i dont know how to make it flow with the rest of the paragraph so ill asked gpt for some different ways to do it,Understand very well,Strongly agree,Strongly disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Somewhat agree,,,"Its fast, some times ill get in the mode for writing so having gpt there is great as a humane would take a while to contract and rad my work. I also like how I can ask it to do it in different tones and styles",it makes everything sound dull at times and would drastically switch my tone of the writing.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P148,ECO,winter_2024,3rd year,NA,Ecological management and restoration,English: Advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,No personal relationship with the reviewer,No knowledge of the specific culture the assignment is being made jn,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P149,ECO,winter_2024,4th year,NA,GENETICS AND GENOMICS,ENLGISH: ADVANCED,Yes,NA,,,,,,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"HELP WITH SENTENCE STRUCTURE, GRAMMAR RULES, OR SUGGESTING A BETTER/INTERESTING WORD TO HELP WITH REDUNDANCY",Somewhat understand,Strongly agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,No impact on confidence,Strongly agree,,,"UNBIASED, CLEAR SUGGESTIONS, FAST FEEDBACK",N/A,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P15,ENV,winter_2024,3rd year,NA,Computer science,"Mandarin: advanced, English: Intermediate, Japanese: beginner",No,18,,,,,,No,4 = frequently,Revising (ask AI to revise your work),NA,"I want to see the inappropriate expressions such as words and grammar, so I can improve my writing skills",Somewhat understand,Somewhat agree,Somewhat disagree,No,NA,NA,More confident about my writing,Strongly agree,,,I can save time waiting for feedbacks from other people.,It makes my mind lazy,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P150,HSW,winter_2024,3rd year,NA,"Neurobiology, Physiology, and Behavior (NPB) Double majoring in Psychology","English: advanced, Tamil: beginner",No,2,,,,,,No,1 = never,"Editing for Grammar/Clarity (ask AI to edit for grammar),Other","The only AI, I used so far is grammarly","I use grammarly to check any grammar errors in my writings.

",Somewhat do NOT understand,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,I used it for my preliminary research as directed by my UWP104f instructor. I did not find any advantage. Maybe there are some other ways that is useful that I'm not aware of.,"It is very generic feedback. Cannot be individualized for particular interest of the topic. For example, I tried for 3 topics, the formatting and the information seems to be very general and very wordy.",3rd year,NA,"Neurobiology, Physiology, and Behavior double major: Psychology","English: advanced, Tamil: beginner",No,2 years old,,,No,NA,No,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P151,ENV,winter_2024,3rd year,NA,"Neurobiology, Physiology, and Behavior","English: Advanced, Mandarin: Beginner",Yes,NA,,,,,,Yes,2 = infrequently,"Editing for Grammar/Clarity (ask AI to edit for grammar),Other",Brainstorm/Draft,"I use AI to sometimes (not all the time) check my grammar, and I also sometimes use it to help define words/phrases/terms for me that I do not understand.",Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,ChatGPT can offer organizational/flow tips to help restructure essays to make it more understandable.,"ChatGPT can be considered plagiarism if not used properly, and it may be difficult to know whether your ideas are truly your own or from ChatGPT once they all get mixed inside our minds.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P152,ENV,winter_2024,3rd year,NA,"Wildlife, Fish and Conservation Biology major",English: advanced,No,1,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,"I think it will be beneficial to have feedback on my writing before I turn it in, especially from an impartial source.",I am concerned that AI will not have enough context on the assignment to appropriately provide feedback.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P153,ECO,winter_2024,3rd year,NA,Plant science,English advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations",NA,Less confident about my writing,Somewhat disagree,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P154,ECO,winter_2024,3rd year,NA,Environmental Science and Management,"English:advanced, Spanish: advanced",Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Grammar check and flow of paper.,Somewhat do NOT understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,It is quick and can point out errors or methods to revise one’s writing.,Chat bots aren’t always correct sometimes you do more work then less when you take there advice.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P155,ECO,winter_2024,4th year,NA,"Evolution, ecology, & Biodiversiry",English,Yes,NA,,,,,,Yes,2 = infrequently,"Editing for Grammar/Clarity (ask AI to edit for grammar),Other",I mainly use AI for numbers based programs such as R studio,NA,Somewhat do NOT understand,Neither agree nor disagree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"I find AI somewhat useful for providing a basic structure for common forms of writing that I don’t use everyday such as research papers, resumes, etcetera. As a basic structure just to get me started, it’s quite helpful. However, I’ve never used it to review a paper before, so I’m interested in how it will go.","I mean, will AI become too sentient and take over the world???",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P156,HSW,winter_2024,4th year,NA,Linguistics/Spanish,"English: advanced, Spanish: advanced, Italian: beginner",Yes,NA,,,,,,Yes,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat understand,Neither agree nor disagree,Somewhat agree,No,NA,NA,More confident about my writing,Strongly agree,,,I think it can help with phrasing and correcting grammatical errors. It could also potentially offer a fresh perspective and a valuable tool for self editing,People may abused ChatGPT and copy and paste the information instead of using it for inspiration,4th year,NA,Linguistics,"English: advanced, Spanish: advanced",Yes,NA,,,No,NA,Yes,NA,White/Caucasian,,,More confident about my writing,Peer feedback,NA,Strongly agree,Somewhat agree
